,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,pos,g,gs,inn_outs,po,a,e,dp,pb,wp,sb,cs,zr
43,MIN,AL,aguilri01,4350000,MIN,AL,P,732.0,89.0,3875.0,99.0,177.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0
44,ARI,NL,ahmedni01,508500,ARI,NL,SS,149.0,0.0,501.0,217.0,413.0,15.0,97.0,0.0,0.0,0.0,0.0,0.0
45,BAL,AL,ainswku01,322500,SFN,NL,P,29.0,0.0,381.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,PHI,NL,akerfda01,165000,PHI,AL,P,125.0,13.0,701.0,5.0,40.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
47,NYA,AL,albaljo01,403075,NYA,AL,P,66.0,0.0,228.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TEX,AL,alberjo01,109000,TEX,AL,P,27.0,5.0,175.0,6.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
49,CLE,AL,alberma01,1750000,BAL,AL,P,394.0,0.0,1548.0,35.0,79.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
50,DET,AL,albural01,1725000,DET,AL,P,241.0,0.0,486.0,16.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
51,CHN,NL,alcanar01,510000,CHN,NL,2B,131.0,0.0,1890.0,268.0,88.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0
52,SDN,NL,aldremi01,510000,OAK,AL,LF,1164.0,809.0,21716.0,3026.0,176.0,30.0,189.0,0.0,0.0,0.0,0.0,0.0
53,PHI,NL,aldresc01,600000,DET,AL,P,229.0,67.0,1498.0,21.0,64.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
54,ATL,NL,aldrico01,200000,ATL,NL,LF,18.0,0.0,123.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,ML4,AL,aldrija01,62500,ML4,AL,P,62.0,0.0,326.0,12.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
56,DET,AL,alexado01,1000000,BAL,AL,P,561.0,464.0,10103.0,264.0,521.0,32.0,36.0,0.0,0.0,0.0,0.0,0.0
57,BOS,AL,alexama02,612500,CHN,NL,SS,544.0,238.0,8933.0,502.0,859.0,54.0,161.0,0.0,0.0,0.0,0.0,0.0
58,CHN,NL,alfonan01,4000000,FLO,NL,P,592.0,0.0,1839.0,31.0,84.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
59,LAA,AL,alfoned01,8000000,NYN,NL,2B,1474.0,590.0,36251.0,1644.0,3022.0,106.0,447.0,0.0,0.0,0.0,0.0,0.0
60,SFN,NL,alfonel01,382000,SFN,NL,C,164.0,0.0,4032.0,1059.0,76.0,17.0,10.0,7.0,0.0,93.0,39.0,0.0
61,TEX,AL,alicelu01,825000,SLN,AL,2B,1168.0,731.0,26491.0,2033.0,2849.0,142.0,632.0,0.0,0.0,0.0,0.0,0.0
62,CLE,AL,allanan01,235000,CLE,AL,C,506.0,453.0,11998.0,2410.0,208.0,52.0,26.0,41.0,125.0,292.0,129.0,4.0
63,OAK,AL,allenbr01,482500,ARI,NL,1B,124.0,0.0,2577.0,741.0,37.0,6.0,59.0,0.0,0.0,0.0,0.0,0.0
64,TEX,AL,allench01,380000,MIN,AL,LF,412.0,258.0,8289.0,649.0,24.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0
65,CLE,AL,allenco01,547100,CLE,AL,P,250.0,0.0,507.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NYN,NL,allenje01,284000,NYN,NL,CF,652.0,506.0,14204.0,1199.0,28.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0
67,CHA,AL,allenne01,1250000,NYN,NL,P,434.0,59.0,2965.0,75.0,120.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
68,CLE,AL,allrebe01,102500,CLE,AL,OF,110.0,92.0,2372.0,241.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
69,FLO,NL,almanar01,775000,FLO,NL,P,254.0,0.0,644.0,6.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
70,TEX,AL,almanca01,1100000,SDN,AL,P,210.0,0.0,721.0,9.0,34.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
71,PIT,NL,almonbi01,260000,OAK,NL,SS,1371.0,937.0,25967.0,2018.0,2273.0,175.0,435.0,0.0,0.0,0.0,0.0,0.0
72,MIL,NL,almoner01,414000,MIL,NL,SS,51.0,0.0,927.0,58.0,70.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0
73,NYA,AL,almonzo01,511300,NYA,AL,LF,76.0,0.0,951.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,NYN,NL,alomaro01,8000000,BAL,AL,2B,2344.0,1662.0,59750.0,4463.0,6536.0,183.0,1411.0,0.0,0.0,0.0,0.0,0.0
75,CHA,AL,alomasa02,2900000,CLE,AL,C,1335.0,805.0,31919.0,7667.0,464.0,86.0,72.0,71.0,239.0,758.0,328.0,4.0
76,SDN,NL,alonsyo01,1650000,SDN,NL,1B,471.0,0.0,8535.0,3470.0,262.0,23.0,270.0,0.0,0.0,0.0,0.0,0.0
77,CHN,NL,aloumo01,9500000,MON,NL,OF,3811.0,1684.0,69275.0,4642.0,144.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0
78,COL,NL,alstoga01,152000,COL,NL,P,6.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,HOU,AL,altuvjo01,2500000,HOU,AL,2B,656.0,0.0,12936.0,1125.0,1814.0,37.0,408.0,0.0,0.0,0.0,0.0,0.0
80,DET,AL,alvarga01,170000,DET,AL,3B,88.0,58.0,1587.0,44.0,95.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0
81,MIA,NL,alvarhe01,4000000,MIA,NL,P,92.0,0.0,1623.0,55.0,107.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
82,ATL,NL,alvarjo01,125000,ATL,NL,P,98.0,0.0,487.0,16.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
83,LAA,AL,alvarjo02,509500,LAA,AL,P,80.0,0.0,120.0,6.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,PIT,NL,alvarpe01,5750000,PIT,NL,3B,683.0,0.0,14475.0,1327.0,1268.0,133.0,209.0,0.0,0.0,0.0,0.0,0.0
85,OAK,AL,alvarrj01,507500,OAK,AL,P,31.0,0.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,MON,NL,alvarta01,109000,MON,NL,P,19.0,13.0,175.0,5.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
87,TBA,AL,alvarwi01,9000000,CHA,AL,P,355.0,224.0,5244.0,58.0,215.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0
88,SEA,AL,amarari01,550000,SEA,AL,1B,1080.0,616.0,17791.0,1459.0,564.0,36.0,131.0,0.0,0.0,0.0,0.0,0.0
89,SDN,NL,amarial01,1150000,SDN,NL,2B,714.0,0.0,7914.0,720.0,760.0,33.0,145.0,0.0,0.0,0.0,0.0,0.0
90,PHI,NL,amaroru02,275000,PHI,NL,OF,685.0,318.0,10684.0,928.0,29.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
91,HOU,AL,ambrihe01,493400,HOU,AL,P,96.0,0.0,315.0,4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,FLO,NL,amezaal01,1300000,FLO,NL,SS,830.0,0.0,9669.0,838.0,430.0,26.0,71.0,0.0,0.0,0.0,0.0,0.0
93,MIN,AL,anderal02,785000,MIN,AL,P,148.0,128.0,2456.0,41.0,131.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0
94,BAL,AL,anderbr01,7200000,BAL,AL,CF,3505.0,2662.0,78244.0,6833.0,107.0,79.0,27.0,0.0,0.0,0.0,0.0,0.0
95,ARI,NL,anderbr02,5375000,ARI,AL,P,291.0,104.0,4641.0,76.0,313.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0
96,CHA,AL,anderbr03,440000,CHA,AL,CF,679.0,0.0,6255.0,562.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
97,LAN,NL,anderbr04,10000000,OAK,AL,P,123.0,0.0,1479.0,8.0,138.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
98,ARI,NL,anderch01,512500,ARI,NL,P,48.0,0.0,342.0,17.0,30.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
99,SFN,NL,anderda02,600000,LAN,NL,3B,788.0,510.0,14968.0,894.0,1556.0,73.0,274.0,0.0,0.0,0.0,0.0,0.0
100,LAA,AL,anderga01,12600000,ANA,AL,OF,3876.0,1386.0,68099.0,5666.0,153.0,72.0,25.0,0.0,0.0,0.0,0.0,0.0
101,NYA,AL,anderja01,300000,NYA,AL,P,32.0,0.0,117.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,CIN,NL,anderji02,600000,PIT,NL,P,122.0,4.0,1726.0,24.0,118.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0
103,DET,AL,anderjo03,400000,ATL,AL,CF,327.0,0.0,3294.0,268.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
104,CAL,AL,anderke01,105000,CAL,AL,2B,136.0,118.0,3085.0,178.0,362.0,19.0,82.0,0.0,0.0,0.0,0.0,0.0
105,SDN,NL,anderla02,2000000,PHI,NL,P,699.0,1.0,2986.0,97.0,151.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0
106,DET,AL,anderma01,3200000,DET,AL,P,257.0,0.0,768.0,16.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
107,NYN,NL,anderma02,1150000,NYN,NL,2B,990.0,130.0,19435.0,1619.0,1754.0,83.0,434.0,0.0,0.0,0.0,0.0,0.0
108,SEA,AL,andinro01,1600000,BAL,AL,SS,459.0,0.0,9942.0,596.0,1027.0,39.0,237.0,0.0,0.0,0.0,0.0,0.0
109,MON,NL,andresh01,1250000,MON,NL,3B,561.0,417.0,12466.0,587.0,991.0,76.0,102.0,0.0,0.0,0.0,0.0,0.0
110,TBA,AL,andrima01,507500,TBA,AL,P,25.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,TEX,AL,andruel01,15000000,TEX,AL,SS,1052.0,0.0,23163.0,1678.0,2878.0,133.0,685.0,0.0,0.0,0.0,0.0,0.0
112,OAK,AL,andujjo01,1353333,HOU,NL,P,405.0,305.0,6459.0,142.0,437.0,54.0,28.0,0.0,0.0,0.0,0.0,0.0
113,TOR,AL,andujlu01,170000,TOR,AL,P,35.0,20.0,370.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,SLN,NL,ankieri01,2825000,SLN,NL,OF,1152.0,5.0,13071.0,1119.0,52.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0
115,SEA,AL,anthoer01,1100000,HOU,NL,OF,1138.0,1022.0,25836.0,1840.0,79.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0
116,SFN,NL,aokino01,4000000,MIL,NL,OF,991.0,0.0,10041.0,1081.0,31.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
117,ANA,AL,appieke01,11500000,KCA,AL,P,414.0,281.0,7786.0,202.0,225.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0
118,BAL,AL,aquingr01,500000,ARI,NL,P,145.0,0.0,459.0,14.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119,FLO,NL,aquinlu01,735000,KCA,AL,P,222.0,69.0,2035.0,54.0,117.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0
120,TBA,AL,archech01,1166667,TBA,AL,P,95.0,0.0,1059.0,22.0,56.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
121,MIN,AL,arciaos01,532500,MIN,AL,OF,406.0,0.0,4677.0,586.0,21.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
122,COL,NL,ardoida01,335000,COL,AL,C,165.0,0.0,3543.0,918.0,85.0,12.0,10.0,14.0,0.0,62.0,37.0,0.0
123,COL,NL,arenano01,512500,COL,NL,3B,398.0,0.0,6231.0,265.0,974.0,43.0,100.0,0.0,0.0,0.0,0.0,0.0
124,TEX,AL,arencjp01,1800000,TOR,AL,C,423.0,0.0,10032.0,2835.0,213.0,26.0,29.0,39.0,0.0,228.0,83.0,0.0
125,PHI,NL,ariasal01,625000,FLO,NL,SS,585.0,331.0,11343.0,645.0,1022.0,47.0,184.0,0.0,0.0,0.0,0.0,0.0
126,HOU,NL,ariasal02,439500,COL,NL,P,63.0,0.0,225.0,7.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
127,SDN,NL,ariasge01,215000,SDN,AL,3B,159.0,134.0,3548.0,98.0,321.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0
128,SFN,NL,ariasjo01,1450000,SFN,NL,2B,421.0,0.0,6570.0,477.0,583.0,27.0,132.0,0.0,0.0,0.0,0.0,0.0
129,BOS,AL,armasto01,1000000,OAK,AL,OF,2766.0,2475.0,65311.0,6195.0,156.0,120.0,36.0,0.0,0.0,0.0,0.0,0.0
130,PIT,NL,armasto02,3000000,MON,NL,P,185.0,1.0,2775.0,59.0,115.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
131,TEX,AL,armstja01,1150000,CIN,NL,P,152.0,130.0,2360.0,62.0,111.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
132,BAL,AL,arnolto01,62500,BAL,AL,P,38.0,0.0,235.0,9.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
133,TEX,AL,arnsbbr01,287500,TEX,AL,P,94.0,4.0,475.0,13.0,27.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
134,SLN,NL,arochre01,195000,SLN,NL,P,124.0,36.0,993.0,15.0,52.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
135,CIN,NL,arredjo01,800000,CIN,AL,P,214.0,0.0,660.0,24.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
136,CHN,NL,arrieja01,3630000,BAL,AL,P,136.0,0.0,1701.0,83.0,131.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0
137,BOS,AL,arrojro01,1900000,BOS,AL,P,158.0,56.0,2096.0,71.0,110.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0
138,CIN,NL,arroybr01,16445535,CIN,NL,P,405.0,0.0,7095.0,215.0,319.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0
139,LAN,NL,arrueba01,3000000,,,,,,,,,,,,,,,
140,PIT,NL,ascanjo01,416000,CHN,NL,P,43.0,0.0,138.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,PHI,NL,ascheco01,517500,PHI,NL,3B,333.0,0.0,3927.0,221.0,393.0,31.0,35.0,0.0,0.0,0.0,0.0,0.0
142,SDN,NL,asencmi01,350000,KCA,AL,P,42.0,0.0,537.0,18.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
143,HOU,NL,ashbyal01,575000,HOU,AL,C,1306.0,1192.0,31591.0,7096.0,685.0,114.0,75.0,113.0,333.0,1112.0,445.0,13.0
144,LAN,NL,ashbyan01,8500000,SDN,NL,P,309.0,210.0,5433.0,131.0,265.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0
145,LAN,NL,ashlebi01,275000,LAN,NL,LF,375.0,326.0,7532.0,461.0,23.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0
146,CHN,NL,assenpa01,2665333,CHN,NL,P,884.0,1.0,2567.0,35.0,109.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
147,NYN,NL,astacpe01,7000000,LAN,NL,P,392.0,207.0,6584.0,189.0,293.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0
148,CLE,AL,atchisc01,900000,BOS,AL,P,298.0,0.0,981.0,33.0,59.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
149,MIN,AL,atherke01,345000,OAK,AL,P,342.0,0.0,1699.0,26.0,51.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
150,COL,NL,atkinga01,7050000,COL,NL,3B,784.0,0.0,19158.0,1338.0,1216.0,82.0,227.0,0.0,0.0,0.0,0.0,0.0
151,SLN,NL,augenbr01,414000,ARI,NL,P,12.0,0.0,69.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,ML4,AL,augusdo01,170000,ML4,AL,P,88.0,70.0,1320.0,47.0,72.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
153,PHI,NL,aumonph01,500000,PHI,NL,P,46.0,0.0,120.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,SFN,NL,aurilri01,6250000,SFN,NL,SS,1605.0,359.0,37605.0,3079.0,3516.0,159.0,933.0,0.0,0.0,0.0,0.0,0.0
155,NYA,AL,ausanjo01,110000,NYA,AL,P,41.0,0.0,160.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,HOU,NL,ausmubr01,5500000,HOU,NL,C,1960.0,691.0,47626.0,12856.0,960.0,80.0,133.0,61.0,223.0,894.0,480.0,3.0
157,KCA,AL,austije01,205000,KCA,AL,P,38.0,0.0,195.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
158,ML4,AL,austiji02,150000,ML4,AL,P,83.0,0.0,300.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,PIT,NL,avenbr01,320000,CLE,NL,LF,381.0,174.0,5859.0,470.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
160,BOS,AL,averyst01,4850000,ATL,NL,P,297.0,261.0,4664.0,63.0,302.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
161,DET,AL,avilaal01,5400000,DET,AL,C,658.0,0.0,14607.0,4603.0,280.0,28.0,54.0,41.0,0.0,383.0,160.0,0.0
162,ATL,NL,avilalu01,530000,ATL,NL,P,241.0,0.0,432.0,23.0,41.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
163,CLE,AL,avilemi01,3500000,CLE,AL,3B,910.0,0.0,16569.0,1075.0,1699.0,81.0,344.0,0.0,0.0,0.0,0.0,0.0
164,CHA,AL,axelrdy01,493000,CHA,AL,P,59.0,0.0,648.0,19.0,26.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
165,MIL,NL,axforjo01,5000000,MIL,NL,P,403.0,0.0,987.0,17.0,33.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
166,CLE,AL,ayalabe01,303333,BAL,AL,OF,460.0,264.0,5501.0,461.0,16.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
167,SEA,AL,ayalabo01,1800000,SEA,AL,P,406.0,14.0,1728.0,55.0,65.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
168,WAS,NL,ayalalu01,1700000,WAS,NL,P,534.0,0.0,1662.0,37.0,116.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
169,LAA,AL,aybarer01,8750000,LAA,AL,SS,1199.0,0.0,26094.0,1798.0,2967.0,131.0,669.0,0.0,0.0,0.0,0.0,0.0
170,CHN,NL,aybarma01,665000,SLN,NL,P,208.0,26.0,1171.0,30.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
171,TBA,AL,aybarwi01,1350000,TBA,AL,3B,270.0,0.0,5595.0,484.0,395.0,25.0,80.0,0.0,0.0,0.0,0.0,0.0
172,PHI,NL,ayraubo01,125000,PHI,NL,P,54.0,0.0,220.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,SDN,NL,azocaos01,120000,SDN,NL,LF,218.0,174.0,4630.0,372.0,10.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
174,HOU,NL,backebr01,1550000,HOU,NL,P,145.0,0.0,1578.0,37.0,66.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
175,MIN,AL,backmwa01,750000,NYN,NL,2B,956.0,806.0,20957.0,1476.0,2132.0,91.0,394.0,0.0,0.0,0.0,0.0,0.0
176,NYN,NL,bacsimi02,302500,NYN,NL,P,51.0,0.0,651.0,17.0,34.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
177,BOS,AL,badenbu01,2150000,FLO,NL,P,418.0,0.0,1338.0,28.0,88.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0
178,SDN,NL,baekch01,429900,SEA,AL,P,59.0,0.0,837.0,30.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
179,CLE,AL,baergca01,4750000,CLE,AL,2B,1375.0,1165.0,32812.0,2634.0,3501.0,169.0,820.0,0.0,0.0,0.0,0.0,0.0
