,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
10,TBA,AL,900000,465.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,21.0,7.0,60.0,93.0,1.0,7.0,16.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5781.0,445.0,534.25,22.0,87.0,1557.0
11,CHA,AL,892500,1075.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,6.0,8.0,43.0,153.0,10.0,7.0,5.0,7.0,14.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11958.0,1133.0,19.0,8.0,5.0,1852.0
12,NYA,AL,48000000,3409.75,3419.5,945.0,1884.75,152.5,17.5,191.5,357.5,62.5,35.0,667.5,1314.0,57.0,33.0,7.0,43.5,70.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23936.0,2443.75,164.0,64.5,25.0,6601.0
13,CHA,AL,25998000,523.0,1169.0,168.0,354.0,69.0,5.0,66.0,208.0,3.0,1.0,90.0,271.0,26.0,26.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2871.0,1922.0,129.0,17.0,87.0,551.0
14,SFN,NL,2235000,392.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,2.0,4.0,22.0,116.0,2.0,5.0,1.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375.0,164.0,327.0,19.0,66.0,2624.0
15,TOR,AL,3240000,786.0,7.0,143.0,289.0,0.0,0.0,24.0,0.0,0.0,0.0,111.0,206.0,16.0,9.0,5.0,13.0,0.0,10.0,20.0,0.0,2.5,854.0,136.0,3.004,53.49,10.0,2.0,1222.0,52.5,855.0,13.0,35.0,1.0,5.0,2703.0
16,BOS,AL,7950000,612.0,2.0,172.0,333.0,0.0,0.0,48.0,0.0,0.0,0.0,129.0,283.0,6.0,28.0,6.0,13.0,1.0,31.0,16.0,15.0,2.5,1141.0,162.0,1.689,28.29,5.0,2.5,1599.0,52.5,1140.0,24.0,38.0,6.0,5.0,2101.0
17,CIN,NL,1020000,312.0,101.0,248.0,428.0,2.0,0.0,71.0,4.0,0.0,0.0,118.0,314.0,14.0,13.0,26.0,18.0,2.0,18.0,25.0,59.0,1.0,1105.0,235.0,1.36,27.75,9.0,2.0,1628.0,11.0,1107.0,19.0,39.0,0.0,3.0,1563.0
18,NYA,AL,2700000,1101.0,65.0,320.0,603.0,2.0,0.0,72.0,0.0,0.0,0.0,229.0,383.0,34.0,28.0,17.0,12.0,2.0,28.0,40.0,68.0,2.5,1710.0,274.0,2.283,45.08,20.0,2.5,2488.0,52.5,1713.0,42.0,68.0,8.0,1.0,3019.0
19,TOR,AL,2100000,1401.0,54.0,449.0,927.0,1.0,0.0,82.0,1.0,0.0,0.0,331.0,514.0,40.0,32.0,0.0,0.0,1.0,33.0,45.0,64.0,2.5,2387.5,370.0,3.19,47.52,31.0,2.0,3431.25,52.5,2713.0,73.0,161.0,2.0,11.0,3356.0
20,SEA,AL,8100000,1478.0,2064.0,255.0,503.0,94.0,17.5,46.0,212.0,31.0,12.0,186.0,410.0,10.0,5.0,11.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12435.0,1300.0,534.25,20.0,87.0,1570.0
21,NYN,NL,2625000,699.0,6.0,122.0,234.0,0.0,0.0,30.0,0.0,0.0,0.0,118.0,223.0,10.0,8.0,9.0,5.0,0.0,13.0,13.0,0.0,2.5,744.0,110.0,1.4589999999999996,23.05,14.0,0.0,1070.0,52.5,744.0,19.0,37.0,4.0,6.0,1879.0
22,OAK,AL,495000,342.0,0.0,75.0,135.0,0.0,0.0,16.0,0.0,0.0,0.0,68.0,98.0,9.0,5.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,381.0,73.0,1.04,20.980000000000004,3.0,1.0,582.0,32.0,381.0,5.0,9.0,1.0,0.0,1093.0
23,CLE,AL,1523100,102.0,1.0,22.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,27.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,121.0,21.0,0.5860000000000001,12.78,1.0,0.0,179.0,10.0,21.0,1.0,6.0,0.0,0.0,445.0
24,NYA,AL,1620000,87.0,140.0,10.0,27.0,5.0,1.0,2.0,13.0,0.0,0.0,9.0,43.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,56.0,76.0,1.0,12.0,137.0
25,ARI,NL,630000,132.0,10.0,66.0,124.0,1.0,0.0,19.0,1.0,0.0,0.0,37.0,77.0,0.0,9.0,1.0,0.0,1.0,5.0,6.0,22.0,0.0,331.0,60.0,0.5800000000000001,19.12,0.0,1.0,484.0,4.0,331.0,9.0,15.0,3.0,0.0,746.0
26,SLN,NL,1602000,614.0,1084.0,123.0,299.0,63.0,5.0,39.0,156.0,4.0,3.0,64.0,259.0,6.0,3.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5868.0,2244.0,174.0,17.0,87.0,1232.0
27,PHI,NL,21000000,1226.0,2.0,122.0,316.0,0.0,0.0,33.0,0.0,0.0,0.0,126.0,409.0,12.0,6.0,13.0,6.0,2.0,21.0,20.0,0.0,2.5,1222.0,109.0,2.4569999999999994,35.989999999999995,7.0,0.0,1653.0,52.5,1221.0,32.0,43.0,1.0,4.0,3775.0
28,TOR,AL,1029000,553.0,884.0,125.0,218.0,46.0,7.0,17.0,113.0,15.0,5.0,85.0,118.0,2.0,5.0,8.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6078.0,331.0,534.25,46.0,87.0,1761.0
29,PHI,NL,8700000,1722.0,78.0,450.0,894.0,1.0,0.0,63.0,2.0,0.0,0.0,387.0,732.0,33.0,17.0,38.0,10.0,1.0,40.0,45.0,41.0,2.5,2387.5,370.0,2.819,60.06999999999999,40.0,2.5,3431.25,52.5,2606.0,87.0,130.0,14.0,6.0,3574.0
30,OAK,AL,531000,75.0,0.0,92.0,149.0,0.0,0.0,20.0,0.0,0.0,0.0,55.0,105.0,5.0,9.0,0.0,0.0,0.0,6.0,9.0,48.0,0.0,404.0,87.0,0.53,12.19,4.0,0.0,611.0,0.0,404.0,7.0,16.0,0.0,0.0,429.0
31,KCA,AL,1242000,168.0,1.0,64.0,126.0,0.0,0.0,14.0,0.0,0.0,0.0,56.0,81.0,5.0,7.0,5.0,4.0,3.0,2.0,6.0,5.0,1.0,369.0,57.0,1.064,17.46,6.0,1.0,541.0,14.0,315.0,10.0,16.0,3.0,0.0,1578.0
32,ML4,AL,210000,149.0,144.0,11.0,34.0,8.0,1.0,1.0,15.0,0.0,1.0,2.0,27.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,167.0,14.0,2.0,6.0,2144.0
33,TEX,AL,1503000,140.0,132.0,15.0,25.0,4.0,0.0,1.0,8.0,5.0,1.0,13.0,36.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,155.0,3.0,1.0,3.0,392.0
34,LAA,AL,1200000,12.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,54.0,12.0,0.6519999999999999,9.0,3.0,0.0,90.0,0.0,54.0,0.0,1.0,0.0,0.0,342.0
35,CHA,AL,903000,357.0,1.0,75.0,155.0,0.0,0.0,18.0,0.0,0.0,0.0,54.0,82.0,10.0,5.0,9.0,4.0,0.0,5.0,5.0,0.0,0.0,416.0,70.0,1.51,24.54,1.0,0.0,605.0,40.0,414.0,7.0,23.0,2.0,3.0,1871.0
36,SFN,NL,1501500,197.0,228.0,24.0,48.0,14.0,1.0,1.0,19.0,4.0,3.0,21.0,47.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,93.0,180.0,6.0,40.0,744.0
37,CIN,NL,390000,88.0,79.0,4.0,15.0,2.0,2.0,0.0,7.0,17.0,3.0,5.0,32.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,613.0,123.0,5.0,1.0,3.0,1761.0
38,SFN,NL,18000000,2322.0,17.0,455.0,907.0,0.0,0.0,76.0,2.0,0.0,0.0,398.0,726.0,41.0,42.0,42.0,25.0,6.0,40.0,45.0,42.0,2.5,2387.5,370.0,3.821,61.52,40.0,2.5,3431.25,52.5,2670.0,45.0,184.0,13.0,13.0,4929.0
39,COL,NL,1800000,1075.0,1091.0,145.0,299.0,57.0,6.0,39.0,156.0,16.0,16.0,139.0,246.0,7.0,15.0,1.0,8.0,31.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8994.0,610.0,10.0,15.0,0.0,1565.0
40,SLN,NL,5000001,1629.0,20.0,313.0,641.0,0.0,0.0,30.0,0.0,0.0,0.0,249.0,314.0,47.0,30.0,1.0,0.0,0.0,40.0,33.0,4.0,2.5,1879.0,279.0,4.03875,84.0375,21.0,2.5,2713.0,52.5,1879.0,58.0,158.0,14.0,13.0,4303.0
41,PHI,NL,1125000,1073.0,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,7.0,5.0,94.0,220.0,12.0,20.0,14.0,12.0,27.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8183.0,483.0,534.25,54.0,87.0,3451.0
42,FLO,NL,981000,357.0,230.0,26.0,53.0,13.0,2.0,3.0,16.0,2.0,2.0,16.0,61.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,103.0,5.0,2.0,0.0,1473.0
